,year,gold_medal,silver_medal,bronze_medal,total_medal
1067,2004,0,0,1,1
1068,2004,1,0,0,1
1069,2004,1,0,0,1
1070,2004,1,0,0,1
1071,2004,0,0,1,1
1072,2004,0,0,1,1
1073,2004,0,0,1,1
1074,2004,0,1,0,1
1075,2004,0,1,0,1
1076,2004,1,0,0,1
1077,2000,0,0,1,1
1078,2000,1,0,0,1
1079,2000,0,0,1,1
1080,2000,1,0,0,1
1081,2000,1,0,0,1
1082,2000,1,0,0,1
1083,2000,0,0,1,1
1084,2000,0,1,0,1
1085,2000,0,0,1,1
1086,2000,1,0,0,1
1087,2000,1,0,0,1
1088,2000,0,0,1,1
1089,2000,0,1,0,1
1090,2000,0,0,1,1
1091,2000,0,0,1,1
1092,2000,0,1,0,1
1093,2000,1,0,0,1
1094,2000,0,0,1,1
1095,2000,0,1,0,1
1096,2000,0,1,0,1
1097,2000,0,0,1,1
1098,2000,0,1,0,1
1099,2000,1,0,0,1
1100,2000,1,0,0,1
1101,2000,0,1,0,1
1102,2000,0,0,1,1
1103,2000,1,0,0,1
1104,2000,0,0,1,1
1105,2000,0,1,0,1
1106,2000,1,0,0,1
1107,2000,0,1,0,1
1108,2000,0,1,0,1
1109,2000,0,1,0,1
1110,2000,0,0,1,1
1111,2000,0,0,1,1
1112,2000,0,0,1,1
1113,2000,1,0,0,1
1114,2000,0,1,0,1
1115,2000,1,0,0,1
1116,2000,0,1,0,1
1117,2000,0,1,0,1
1118,2000,0,1,0,1
1119,2000,1,0,0,1
1120,2000,1,0,0,1
1121,2000,0,0,1,1
1122,2012,0,1,0,1
1123,2012,0,0,1,1
1124,2012,1,0,0,1
1125,2012,0,1,0,1
1126,2012,1,0,0,1
1127,2012,0,0,1,1
1128,2012,0,1,0,1
1129,2012,1,0,0,1
1130,2012,0,0,1,1
1131,2012,1,0,0,1
1132,2012,1,0,0,1
1133,2012,1,0,0,1
1134,2012,1,0,0,1
1135,2012,1,0,0,1
1136,2012,1,0,0,1
1137,2012,0,1,0,1
1138,2012,0,1,0,1
1139,2012,0,1,0,1
1140,2012,0,1,0,1
1141,2012,0,0,1,1
1142,2012,0,1,0,1
1143,2012,0,1,0,1
1144,2012,0,1,0,1
1145,2012,0,1,0,1
1146,2012,0,1,0,1
1147,2012,0,1,0,1
1148,2012,0,0,1,1
1149,2012,0,0,1,1
1150,2012,1,0,0,1
1151,2012,1,0,0,1
1152,2012,0,0,1,1
1153,2012,0,0,1,1
1154,2012,0,1,0,1
1155,2012,0,0,1,1
1156,2012,1,0,0,1
1157,2012,0,0,1,1
1158,2012,0,1,0,1
1159,2012,0,1,0,1
1160,2012,0,0,1,1
1161,2012,0,0,1,1
1162,2012,1,0,0,1
1163,2012,0,0,1,1
1164,2012,1,0,0,1
1165,2012,0,1,0,1
1166,2012,0,1,0,1
1167,2012,0,1,0,1
1168,2012,1,0,0,1
1169,2012,0,1,0,1
1170,2012,0,1,0,1
1171,2012,1,0,0,1
1172,2012,0,0,1,1
1173,2012,0,0,1,1
1174,2012,0,1,0,1
1175,2012,0,1,0,1
1176,2012,0,0,1,1
1177,2012,0,0,1,1
1178,2012,0,0,1,1
1179,2012,0,0,1,1
1180,2012,1,0,0,1
1181,2012,0,0,1,1
1182,2012,1,0,0,1
1183,2012,0,0,1,1
1184,2012,0,0,1,1
1185,2012,0,0,1,1
1186,2012,1,0,0,1
1187,2012,1,0,0,1
1188,2012,1,0,0,1
1189,2012,0,1,0,1
1190,2012,0,1,0,1
1191,2012,0,0,1,1
1192,2012,1,0,0,1
1193,2012,1,0,0,1
1194,2012,0,0,1,1
1195,2012,1,0,0,1
1196,2012,1,0,0,1
1197,2012,0,0,1,1
1198,2008,0,1,0,1
1199,2008,0,1,0,1
1200,2008,0,1,0,1
1201,2008,0,0,1,1
1202,2008,0,1,0,1
1203,2008,1,0,0,1
1204,2008,1,0,0,1
1205,2008,0,1,0,1
1206,2008,1,0,0,1
1207,2008,0,1,0,1
1208,2008,0,0,1,1
1209,2008,0,1,0,1
1210,2008,0,0,1,1
1211,2008,1,0,0,1
1212,2008,0,0,1,1
1213,2008,0,0,1,1
1214,2008,1,0,0,1
1215,2008,0,0,1,1
1216,2008,0,0,1,1
1217,2008,0,1,0,1
1218,2008,0,1,0,1
1219,2008,1,0,0,1
1220,2008,0,0,1,1
1221,2008,1,0,0,1
1222,2008,0,1,0,1
1223,2008,0,0,1,1
1224,2008,0,1,0,1
1225,2008,1,0,0,1
1226,2008,0,1,0,1
1227,2008,0,1,0,1
1228,2008,1,0,0,1
1229,2008,1,0,0,1
1230,2008,1,0,0,1
1231,2008,1,0,0,1
1232,2008,0,0,1,1
1233,2008,0,0,1,1
1234,2008,1,0,0,1
1235,2008,0,1,0,1
1236,2008,1,0,0,1
1237,2008,0,0,1,1
1238,2008,0,1,0,1
1239,2008,1,0,0,1
1240,2008,0,1,0,1
1241,2008,0,0,1,1
1242,2008,0,1,0,1
1243,2008,0,0,1,1
1244,2008,0,1,0,1
1245,2008,0,0,1,1
1246,2008,0,0,1,1
1247,2008,0,0,1,1
1248,2008,0,0,1,1
1249,2008,0,0,1,1
1250,2008,0,0,1,1
1251,2008,0,0,1,1
1252,2008,0,0,1,1
1253,2008,0,0,1,1
1254,2008,1,0,0,1
1255,2008,1,0,0,1
1256,2008,0,1,0,1
1257,2008,0,0,1,1
1258,2008,0,1,0,1
1259,2008,1,0,0,1
1260,2008,0,0,1,1
1261,2008,1,0,0,1
1262,2008,1,0,0,1
1263,2008,1,0,0,1
1264,2008,1,0,0,1
1265,2008,0,1,0,1
1266,2008,0,1,0,1
1267,2008,1,0,0,1
1268,2008,1,0,0,1
1269,2008,1,0,0,1
1270,2008,0,1,0,1
1271,2008,0,0,1,1
1272,2008,0,1,0,1
1273,2008,0,1,0,1
1274,2008,0,1,0,1
1275,2004,1,0,0,1
1276,2004,1,0,0,1
1277,2004,0,1,0,1
1278,2004,0,0,1,1
1279,2004,0,0,1,1
1280,2004,1,0,0,1
1281,2004,1,0,0,1
1282,2004,1,0,0,1
1283,2004,0,0,1,1
1284,2004,0,1,0,1
1285,2004,1,0,0,1
1286,2004,1,0,0,1
1287,2004,0,0,1,1
1288,2004,0,1,0,1
1289,2004,0,0,1,1
1290,2004,0,0,1,1
1291,2004,1,0,0,1
1292,2004,0,0,1,1
1293,2004,0,0,1,1
1294,2004,1,0,0,1
1295,2004,1,0,0,1
1296,2004,0,1,0,1
1297,2004,0,0,1,1
1298,2004,0,0,1,1
1299,2004,1,0,0,1
1300,2004,0,1,0,1
1301,2004,0,1,0,1
1302,2004,0,1,0,1
1303,2004,0,1,0,1
1304,2004,0,1,0,1
1305,2004,1,0,0,1
1306,2004,1,0,0,1
1307,2004,0,0,1,1
1308,2004,0,1,0,1
1309,2004,0,1,0,1
1310,2004,0,1,0,1
1311,2004,0,0,1,1
1312,2004,1,0,0,1
1313,2004,0,0,1,1
1314,2004,1,0,0,1
1315,2004,0,1,0,1
1316,2004,1,0,0,1
1317,2004,1,0,0,1
1318,2004,0,0,1,1
1319,2004,0,1,0,1
1320,2004,0,1,0,1
1321,2004,0,0,1,1
1322,2004,1,0,0,1
1323,2004,0,1,0,1
1324,2004,0,1,0,1
1325,2004,0,1,0,1
1326,2004,0,0,1,1
1327,2004,1,0,0,1
1328,2004,0,0,1,1
1329,2004,0,1,0,1
1330,2004,0,0,1,1
1331,2004,0,1,0,1
1332,2004,0,1,0,1
1333,2004,0,1,0,1
1334,2004,0,0,1,1
1335,2004,1,0,0,1
1336,2004,1,0,0,1
1337,2004,0,0,1,1
1338,2004,1,0,0,1
1339,2004,1,0,0,1
1340,2004,0,1,0,1
1341,2004,0,1,0,1
1342,2004,1,0,0,1
1343,2004,1,0,0,1
1344,2004,0,0,1,1
1345,2004,0,1,0,1
1346,2004,0,0,1,1
1347,2004,0,0,1,1
1348,2004,0,0,1,1
1349,2004,1,0,0,1
1350,2004,0,0,1,1
1351,2000,0,0,1,1
1352,2000,0,0,1,1
1353,2000,0,1,0,1
1354,2000,0,1,0,1
1355,2000,1,0,0,1
1356,2000,1,0,0,1
1357,2000,1,0,0,1
1358,2000,0,1,0,1
1359,2000,0,0,1,1
1360,2000,0,1,0,1
1361,2000,0,1,0,1
1362,2000,1,0,0,1
1363,2000,1,0,0,1
1364,2000,0,1,0,1
1365,2000,0,1,0,1
1366,2000,1,0,0,1
1367,2000,1,0,0,1
1368,2000,1,0,0,1
1369,2000,1,0,0,1
1370,2000,0,0,1,1
1371,2000,0,0,1,1
1372,2000,0,1,0,1
1373,2000,1,0,0,1
1374,2000,1,0,0,1
1375,2000,0,0,1,1
1376,2000,0,0,1,1
1377,2000,1,0,0,1
1378,2000,0,1,0,1
1379,2000,0,0,1,1
1380,2000,0,0,1,1
1381,2000,0,0,1,1
1382,2000,0,1,0,1
1383,2000,0,1,0,1
1384,2000,1,0,0,1
1385,2000,1,0,0,1
1386,2000,1,0,0,1
1387,2000,1,0,0,1
1388,2000,1,0,0,1
1389,2000,0,1,0,1
1390,2000,0,1,0,1
1391,2000,0,1,0,1
1392,2000,0,1,0,1
1393,2000,0,1,0,1
1394,2000,0,0,1,1
1395,2000,0,0,1,1
1396,2000,0,0,1,1
1397,2000,0,0,1,1
1398,2000,0,0,1,1
1399,2000,0,1,0,1
1400,2000,0,1,0,1
1401,2000,0,0,1,1
1402,2000,0,0,1,1
1403,2000,1,0,0,1
1404,2000,0,1,0,1
1405,2000,0,1,0,1
1406,2000,1,0,0,1
1407,2000,1,0,0,1
1408,2000,0,0,1,1
1409,2000,0,0,1,1
1410,2000,0,0,1,1
1411,2000,0,0,1,1
1412,2000,1,0,0,1
1413,2000,1,0,0,1
1414,2000,0,0,1,1
1415,2000,0,0,1,1
1416,2000,0,1,0,1
1417,2000,0,0,1,1
1418,2000,0,0,1,1
1419,2000,1,0,0,1
1420,2000,1,0,0,1
1421,2000,1,0,0,1
1422,2000,1,0,0,1
1423,2000,0,1,0,1
1424,2000,0,1,0,1
1425,2000,0,1,0,1
1426,2000,0,0,1,1
1427,2000,0,1,0,1
1428,2012,0,1,0,1
1429,2012,0,1,0,1
1430,2012,1,0,0,1
1431,2012,0,0,1,1
1432,2012,0,0,1,1
1433,2012,1,0,0,1
1434,2012,0,1,0,1
1435,2012,0,0,1,1
1436,2012,0,0,1,1
1437,2012,1,0,0,1
1438,2012,1,0,0,1
1439,2012,1,0,0,1
1440,2012,0,1,0,1
1441,2012,0,1,0,1
1442,2012,0,1,0,1
1443,2012,0,0,1,1
1444,2012,1,0,0,1
1445,2012,1,0,0,1
1446,2012,0,0,1,1
1447,2012,1,0,0,1
1448,2012,0,1,0,1
1449,2012,0,0,1,1
1450,2012,1,0,0,1
1451,2012,0,1,0,1
1452,2012,0,1,0,1
1453,2012,0,1,0,1
1454,2012,0,1,0,1
1455,2012,1,0,0,1
1456,2012,0,0,1,1
1457,2012,1,0,0,1
1458,2012,0,0,1,1
1459,2012,1,0,0,1
1460,2012,0,0,1,1
1461,2012,0,1,0,1
1462,2012,0,0,1,1
1463,2012,1,0,0,1
1464,2012,0,0,1,1
1465,2012,1,0,0,1
1466,2012,0,1,0,1
1467,2012,0,1,0,1
1468,2012,1,0,0,1
1469,2012,0,0,1,1
1470,2012,0,1,0,1
1471,2012,1,0,0,1
1472,2012,0,0,1,1
1473,2012,0,0,1,1
1474,2012,0,0,1,1
1475,2012,1,0,0,1
1476,2012,1,0,0,1
1477,2012,0,1,0,1
1478,2012,1,0,0,1
1479,2012,0,1,0,1
1480,2012,0,0,1,1
1481,2012,0,0,1,1
1482,2012,0,0,1,1
1483,2012,0,1,0,1
1484,2012,1,0,0,1
1485,2012,0,0,1,1
1486,2012,0,1,0,1
1487,2012,1,0,0,1
1488,2012,0,0,1,1
1489,2012,1,0,0,1
1490,2012,1,0,0,1
1491,2012,0,1,0,1
1492,2012,0,1,0,1
1493,2012,0,0,1,1
1494,2012,1,0,0,1
1495,2012,0,0,1,1
1496,2012,0,0,1,1
1497,2008,0,1,0,1
1498,2008,0,1,0,1
1499,2008,1,0,0,1
1500,2008,0,0,1,1
1501,2008,0,1,0,1
1502,2008,0,1,0,1
1503,2008,0,1,0,1
1504,2008,1,0,0,1
1505,2008,0,1,0,1
1506,2008,0,1,0,1
1507,2008,0,1,0,1
1508,2008,1,0,0,1
1509,2008,1,0,0,1
1510,2008,0,0,1,1
1511,2008,1,0,0,1
1512,2008,1,0,0,1
1513,2008,0,1,0,1
1514,2008,0,1,0,1
1515,2008,0,0,1,1
1516,2008,0,1,0,1
1517,2008,0,1,0,1
1518,2008,1,0,0,1
1519,2008,0,1,0,1
1520,2008,1,0,0,1
1521,2008,1,0,0,1
1522,2008,0,1,0,1
1523,2008,0,0,1,1
1524,2008,0,0,1,1
1525,2008,0,0,1,1
1526,2008,0,0,1,1
1527,2008,1,0,0,1
1528,2008,1,0,0,1
1529,2008,0,0,1,1
1530,2008,0,0,1,1
1531,2008,0,0,1,1
1532,2008,0,1,0,1
1533,2008,1,0,0,1
1534,2008,0,0,1,1
1535,2008,1,0,0,1
1536,2008,0,1,0,1
1537,2008,0,1,0,1
1538,2008,0,1,0,1
1539,2008,0,0,1,1
1540,2008,1,0,0,1
1541,2008,0,0,1,1
1542,2008,1,0,0,1
1543,2008,0,1,0,1
1544,2008,1,0,0,1
1545,2008,1,0,0,1
1546,2008,0,1,0,1
1547,2008,1,0,0,1
1548,2008,0,1,0,1
1549,2008,1,0,0,1
1550,2008,1,0,0,1
1551,2008,0,1,0,1
1552,2008,0,0,1,1
1553,2008,1,0,0,1
1554,2008,0,1,0,1
1555,2008,1,0,0,1
1556,2008,1,0,0,1
1557,2008,0,0,1,1
1558,2008,0,0,1,1
1559,2008,1,0,0,1
1560,2008,0,0,1,1
1561,2008,0,0,1,1
1562,2008,0,1,0,1
1563,2008,0,0,1,1
1564,2008,0,0,1,1
1565,2008,0,0,1,1
1566,2008,0,0,1,1
1567,2008,0,0,1,1
1568,2008,0,0,1,1
1569,2004,0,0,1,1
1570,2004,1,0,0,1
1571,2004,0,1,0,1
1572,2004,0,0,1,1
1573,2004,0,0,1,1
1574,2004,0,1,0,1
1575,2004,0,0,1,1
1576,2004,0,0,1,1
1577,2004,0,1,0,1
1578,2004,1,0,0,1
1579,2004,0,1,0,1
1580,2004,0,1,0,1
1581,2004,0,1,0,1
1582,2004,1,0,0,1
1583,2004,0,0,1,1
1584,2004,1,0,0,1
1585,2004,0,1,0,1
1586,2004,1,0,0,1
1587,2004,0,0,1,1
1588,2004,0,1,0,1
1589,2004,0,1,0,1
1590,2004,1,0,0,1
1591,2004,1,0,0,1
1592,2004,1,0,0,1
1593,2004,1,0,0,1
1594,2004,0,0,1,1
1595,2004,0,0,1,1
1596,2004,0,0,1,1
1597,2004,0,0,1,1
1598,2004,0,0,1,1
1599,2004,1,0,0,1
1600,2004,1,0,0,1
1601,2004,0,0,1,1
1602,2004,0,1,0,1
1603,2004,1,0,0,1
1604,2004,0,0,1,1
1605,2004,0,0,1,1
1606,2004,1,0,0,1
1607,2004,1,0,0,1
1608,2004,0,1,0,1
1609,2004,0,0,1,1
1610,2004,0,1,0,1
1611,2004,0,1,0,1
1612,2004,0,1,0,1
1613,2004,0,0,1,1
1614,2004,1,0,0,1
1615,2004,1,0,0,1
1616,2004,0,0,1,1
1617,2004,0,0,1,1
1618,2004,0,1,0,1
1619,2004,0,1,0,1
1620,2004,0,1,0,1
1621,2004,0,1,0,1
1622,2004,1,0,0,1
1623,2004,0,1,0,1
1624,2004,0,0,1,1
1625,2004,0,0,1,1
1626,2004,0,1,0,1
1627,2004,0,1,0,1
1628,2004,0,0,1,1
1629,2004,0,0,1,1
1630,2004,0,1,0,1
1631,2004,1,0,0,1
1632,2004,1,0,0,1
1633,2004,0,0,1,1
1634,2004,1,0,0,1
1635,2004,1,0,0,1
1636,2004,1,0,0,1
1637,2004,1,0,0,1
1638,2004,1,0,0,1
1639,2000,1,0,0,1
1640,2000,0,1,0,1
1641,2000,1,0,0,1
1642,2000,0,1,0,1
1643,2000,0,1,0,1
1644,2000,1,0,0,1
1645,2000,1,0,0,1
1646,2000,0,0,1,1
1647,2000,0,0,1,1
1648,2000,1,0,0,1
1649,2000,0,0,1,1
1650,2000,0,0,1,1
1651,2000,1,0,0,1
1652,2000,0,0,1,1
1653,2000,1,0,0,1
1654,2000,0,1,0,1
1655,2000,0,0,1,1
1656,2000,0,1,0,1
1657,2000,1,0,0,1
1658,2000,0,0,1,1
1659,2000,0,1,0,1
1660,2000,0,1,0,1
1661,2000,0,1,0,1
1662,2000,0,0,1,1
1663,2000,1,0,0,1
1664,2000,1,0,0,1
1665,2000,0,0,1,1
1666,2000,0,0,1,1
1667,2000,0,0,1,1
1668,2000,0,1,0,1
1669,2000,0,0,1,1
1670,2000,0,1,0,1
1671,2000,0,0,1,1
1672,2000,1,0,0,1
1673,2000,0,1,0,1
1674,2000,0,0,1,1
1675,2000,1,0,0,1
1676,2000,0,0,1,1
1677,2000,0,0,1,1
1678,2000,1,0,0,1
1679,2000,1,0,0,1
1680,2000,1,0,0,1
1681,2000,0,1,0,1
1682,2000,0,1,0,1
1683,2000,0,1,0,1
1684,2000,0,0,1,1
1685,2000,0,1,0,1
1686,2000,0,0,1,1
1687,2000,0,0,1,1
1688,2000,0,0,1,1
1689,2000,1,0,0,1
1690,2000,0,1,0,1
1691,2000,0,0,1,1
1692,2000,0,1,0,1
1693,2000,0,1,0,1
1694,2000,0,1,0,1
1695,2000,0,1,0,1
1696,2000,0,1,0,1
1697,2000,0,0,1,1
1698,2000,1,0,0,1
1699,2000,0,1,0,1
1700,2000,0,1,0,1
1701,2000,0,0,1,1
1702,2000,1,0,0,1
1703,2000,1,0,0,1
1704,2000,0,0,1,1
1705,2000,0,1,0,1
1706,2012,0,0,1,1
1707,2012,0,1,0,1
1708,2012,1,0,0,1
1709,2012,0,1,0,1
1710,2012,0,1,0,1
1711,2012,0,1,0,1
1712,2012,0,0,1,1
1713,2012,1,0,0,1
1714,2012,0,1,0,1
1715,2012,0,0,1,1
1716,2012,0,0,1,1
1717,2012,0,1,0,1
1718,2008,0,1,0,1
1719,2008,0,0,1,1
1720,2008,0,1,0,1
1721,2008,0,0,1,1
1722,2008,0,1,0,1
1723,2008,0,0,1,1
1724,2008,0,1,0,1
1725,2008,0,0,1,1
1726,2008,0,1,0,1
1727,2008,0,1,0,1
1728,2008,0,0,1,1
1729,2008,0,0,1,1
1730,2004,1,0,0,1
1731,2004,0,0,1,1
1732,2004,0,0,1,1
1733,2004,0,1,0,1
1734,2004,0,1,0,1
1735,2004,0,1,0,1
1736,2004,0,1,0,1
1737,2004,1,0,0,1
1738,2004,0,0,1,1
1739,2004,0,0,1,1
1740,2004,0,1,0,1
1741,2004,0,0,1,1
1742,2004,0,1,0,1
1743,2004,0,0,1,1
1744,2004,1,0,0,1
1745,2004,1,0,0,1
1746,2000,0,0,1,1
1747,2000,0,0,1,1
1748,2000,0,0,1,1
1749,2000,0,0,1,1
1750,2000,0,1,0,1
1751,2000,0,1,0,1
1752,2000,1,0,0,1
1753,2000,1,0,0,1
1754,2000,0,1,0,1
1755,2000,0,0,1,1
1756,2012,1,0,0,1
1757,2012,0,0,1,1
1758,2012,0,0,1,1
1759,2012,0,1,0,1
1760,2012,0,1,0,1
1761,2012,1,0,0,1
1762,2008,0,0,1,1
1763,2008,0,1,0,1
1764,2008,1,0,0,1
1765,2008,0,0,1,1
1766,2008,1,0,0,1
1767,2008,0,1,0,1
1768,2004,1,0,0,1
1769,2004,1,0,0,1
1770,2004,0,1,0,1
1771,2004,0,1,0,1
1772,2004,0,0,1,1
1773,2004,0,0,1,1
1774,2000,0,1,0,1
1775,2000,1,0,0,1
1776,2000,0,0,1,1
1777,2000,0,0,1,1
1778,2000,0,1,0,1
1779,2000,1,0,0,1
1780,2012,1,0,0,1
1781,2012,0,0,1,1
1782,2012,0,1,0,1
1783,2012,0,0,1,1
1784,2012,1,0,0,1
1785,2012,0,1,0,1
1786,2008,0,1,0,1
1787,2008,0,1,0,1
1788,2008,0,0,1,1
1789,2008,1,0,0,1
1790,2008,0,0,1,1
1791,2008,1,0,0,1
1792,2004,0,1,0,1
1793,2004,1,0,0,1
1794,2004,0,0,1,1
1795,2004,0,1,0,1
1796,2004,1,0,0,1
1797,2004,0,0,1,1
1798,2000,0,0,1,1
1799,2000,1,0,0,1
1800,2000,1,0,0,1
1801,2000,0,1,0,1
1802,2000,0,0,1,1
1803,2000,0,1,0,1
1804,2012,0,0,1,1
1805,2012,1,0,0,1
1806,2012,0,0,1,1
1807,2012,0,0,1,1
1808,2012,0,0,1,1
1809,2012,0,0,1,1
1810,2012,0,1,0,1
1811,2012,1,0,0,1
1812,2012,0,1,0,1
1813,2012,0,0,1,1
1814,2012,0,1,0,1
1815,2012,1,0,0,1
1816,2012,0,0,1,1
1817,2012,1,0,0,1
1818,2012,0,1,0,1
1819,2012,0,0,1,1
1820,2012,1,0,0,1
1821,2012,0,0,1,1
1822,2012,1,0,0,1
1823,2012,0,1,0,1
1824,2012,0,0,1,1
1825,2012,0,0,1,1
1826,2012,0,0,1,1
1827,2012,0,1,0,1
1828,2012,0,0,1,1
1829,2012,0,0,1,1
1830,2012,0,1,0,1
1831,2012,1,0,0,1
1832,2012,0,0,1,1
1833,2012,1,0,0,1
1834,2012,0,1,0,1
1835,2012,0,0,1,1
1836,2008,0,0,1,1
1837,2008,0,0,1,1
1838,2008,0,0,1,1
1839,2008,0,0,1,1
1840,2008,0,0,1,1
1841,2008,1,0,0,1
1842,2008,0,0,1,1
1843,2008,1,0,0,1
1844,2008,1,0,0,1
1845,2008,1,0,0,1
1846,2008,0,0,1,1
1847,2008,0,1,0,1
1848,2008,0,0,1,1
1849,2008,0,1,0,1
1850,2008,0,0,1,1
1851,2008,0,1,0,1
1852,2008,0,0,1,1
1853,2008,1,0,0,1
1854,2008,0,1,0,1
1855,2008,1,0,0,1
1856,2008,0,0,1,1
1857,2008,0,1,0,1
1858,2008,0,1,0,1
1859,2008,0,1,0,1
1860,2008,1,0,0,1
1861,2008,0,0,1,1
1862,2008,0,0,1,1
1863,2008,0,1,0,1
1864,2008,0,0,1,1
1865,2008,1,0,0,1
1866,2008,0,0,1,1
1867,2008,0,0,1,1
1868,2004,0,1,0,1
1869,2004,0,1,0,1
1870,2004,0,0,1,1
1871,2004,0,0,1,1
1872,2004,1,0,0,1
1873,2004,1,0,0,1
1874,2004,1,0,0,1
1875,2004,0,0,1,1
1876,2004,0,1,0,1
1877,2004,0,0,1,1
1878,2004,1,0,0,1
1879,2004,0,0,1,1
1880,2004,0,1,0,1
1881,2004,1,0,0,1
1882,2004,1,0,0,1
1883,2004,1,0,0,1
1884,2004,0,1,0,1
1885,2004,0,1,0,1
1886,2004,1,0,0,1
1887,2004,0,0,1,1
1888,2004,0,0,1,1
1889,2004,0,1,0,1
1890,2004,0,0,1,1
1891,2004,0,1,0,1
1892,2000,0,0,1,1
1893,2000,0,0,1,1
1894,2000,1,0,0,1
1895,2000,1,0,0,1
1896,2000,0,0,1,1
1897,2000,0,1,0,1
1898,2000,0,1,0,1
1899,2000,0,0,1,1
1900,2000,0,0,1,1
1901,2000,0,1,0,1
1902,2000,0,0,1,1
1903,2000,0,1,0,1
1904,2000,1,0,0,1
1905,2000,1,0,0,1
1906,2000,1,0,0,1
1907,2000,1,0,0,1
1908,2000,1,0,0,1
1909,2000,0,1,0,1
1910,2000,1,0,0,1
1911,2000,0,0,1,1
1912,2000,0,0,1,1
1913,2000,0,1,0,1
1914,2000,0,1,0,1
1915,2000,0,1,0,1
1916,2012,0,0,1,1
1917,2012,1,0,0,1
1918,2012,0,0,1,1
1919,2012,0,1,0,1
1920,2012,0,0,1,1
1921,2012,0,1,0,1
1922,2012,0,1,0,1
1923,2012,0,0,1,1
1924,2012,0,1,0,1
1925,2012,1,0,0,1
1926,2012,0,0,1,1
1927,2012,0,0,1,1
1928,2012,0,1,0,1
1929,2012,0,1,0,1
1930,2012,0,1,0,1
1931,2012,1,0,0,1
1932,2008,0,1,0,1
1933,2008,0,0,1,1
1934,2008,0,0,1,1
1935,2008,1,0,0,1
1936,2008,1,0,0,1
1937,2008,0,1,0,1
1938,2008,0,1,0,1
1939,2008,0,1,0,1
1940,2008,1,0,0,1
1941,2008,0,1,0,1
1942,2008,0,1,0,1
1943,2008,1,0,0,1
1944,2008,1,0,0,1
1945,2008,1,0,0,1
1946,2008,0,0,1,1
1947,2008,0,0,1,1
1948,2008,0,0,1,1
1949,2008,0,0,1,1
1950,2004,0,0,1,1
1951,2004,0,1,0,1
1952,2004,1,0,0,1
1953,2004,0,1,0,1
1954,2004,1,0,0,1
1955,2004,0,0,1,1
1956,2004,0,1,0,1
1957,2004,0,1,0,1
1958,2004,0,0,1,1
1959,2004,0,1,0,1
1960,2004,0,1,0,1
1961,2004,0,0,1,1
1962,2004,1,0,0,1
1963,2004,0,0,1,1
1964,2000,0,1,0,1
1965,2000,0,0,1,1
1966,2000,0,0,1,1
1967,2000,0,0,1,1
1968,2000,0,1,0,1
1969,2000,0,0,1,1
1970,2000,0,1,0,1
1971,2000,1,0,0,1
1972,2000,1,0,0,1
1973,2000,1,0,0,1
1974,2000,0,1,0,1
1975,2000,0,0,1,1
1976,2000,0,0,1,1
1977,2000,1,0,0,1
1978,2000,0,1,0,1
1979,2000,0,1,0,1
1980,2012,0,0,1,1
1981,2012,0,0,1,1
1982,2012,0,1,0,1
1983,2012,0,1,0,1
1984,2012,0,0,1,1
1985,2012,1,0,0,1
1986,2012,1,0,0,1
1987,2012,0,0,1,1
1988,2012,0,1,0,1
1989,2012,0,1,0,1
1990,2012,1,0,0,1
1991,2012,0,0,1,1
1992,2012,1,0,0,1
1993,2012,0,1,0,1
1994,2012,0,0,1,1
1995,2012,1,0,0,1
1996,2012,0,0,1,1
1997,2012,1,0,0,1
1998,2012,0,1,0,1
1999,2012,1,0,0,1
2000,2012,0,1,0,1
2001,2008,0,1,0,1
2002,2008,0,1,0,1
2003,2008,1,0,0,1
2004,2008,0,0,1,1
2005,2008,0,0,1,1
2006,2008,0,1,0,1
2007,2008,0,0,1,1
2008,2008,1,0,0,1
2009,2008,0,0,1,1
2010,2008,0,0,1,1
2011,2008,1,0,0,1
2012,2008,1,0,0,1
2013,2008,0,0,1,1
2014,2008,0,1,0,1
2015,2008,0,0,1,1
2016,2008,1,0,0,1
2017,2008,0,1,0,1
2018,2008,1,0,0,1
2019,2008,1,0,0,1
2020,2008,0,0,1,1
2021,2008,0,0,1,1
2022,2008,0,1,0,1
2023,2008,0,0,1,1
2024,2008,0,0,1,1
2025,2004,1,0,0,1
2026,2004,1,0,0,1
2027,2004,0,0,1,1
2028,2004,0,0,1,1
2029,2004,0,1,0,1
2030,2004,1,0,0,1
2031,2004,0,1,0,1
2032,2004,0,0,1,1
2033,2004,0,1,0,1
2034,2004,1,0,0,1
2035,2004,1,0,0,1
2036,2004,0,1,0,1
2037,2004,0,0,1,1
2038,2004,0,0,1,1
2039,2004,0,0,1,1
2040,2004,1,0,0,1
2041,2004,1,0,0,1
2042,2004,0,1,0,1
2043,2004,0,1,0,1
2044,2004,0,1,0,1
2045,2004,0,0,1,1
2046,2000,1,0,0,1
2047,2000,1,0,0,1
2048,2000,0,0,1,1
2049,2000,0,0,1,1
2050,2000,0,0,1,1
2051,2000,0,0,1,1
2052,2000,0,1,0,1
2053,2000,0,1,0,1
2054,2000,0,0,1,1
2055,2000,0,1,0,1
2056,2000,0,1,0,1
2057,2000,0,0,1,1
2058,2000,0,0,1,1
2059,2000,0,0,1,1
2060,2000,1,0,0,1
2061,2000,1,0,0,1
2062,2000,0,0,1,1
2063,2000,0,0,1,1
2064,2000,0,1,0,1
