,name,age,country
2385,Jacinta Van Lint,22.0,Australia
2386,Wilma van Rijnvan Hofwegen,29.0,Netherlands
2387,Manon van Rooijen,18.0,Netherlands
2388,Erik Vendt,19.0,United States
2389,Josh Watson,23.0,Australia
2390,Tarnee White,19.0,Australia
2391,Tom Wilkens,24.0,United States
2392,Marcel Wouda,28.0,Netherlands
2393,Nina Zhivanevskaya,23.0,Spain
2394,Martijn Zuijdweg,23.0,Netherlands
2395,Guillaume Bastille,24.0,Canada
2396,Allison Baver,29.0,United States
2397,Simon Cho,18.0,United States
2398,Kimberly Derrick,24.0,United States
2399,Aly Dudek,19.0,United States
2400,Arianna Fontana,19.0,Italy
2401,Lana Gehring,19.0,United States
2402,Jessica Gregg,21.0,Canada
2403,Gwak YunGi,20.0,South Korea
2404,François Hamelin,23.0,Canada
2405,Travis Jayner,27.0,United States
2406,Olivier Jean,25.0,Canada
2407,Kim SeongIl,19.0,South Korea
2408,Lee EunByeol,18.0,South Korea
2409,Jordan Malone,25.0,United States
2410,Kalyna Roberge,23.0,Canada
2411,Sun Linlin,21.0,China
2412,Tania Vicent,34.0,Canada
2413,Zhang Hui,21.0,China
2414,Éric Bédard,29.0,Canada
2415,Byeon CheonSa,18.0,South Korea
2416,Marta Capurso,25.0,Italy
2417,Arianna Fontana,15.0,Italy
2418,Gang YunMi,18.0,South Korea
2419,Jonathan Guilmette,27.0,Canada
2420,Charles Hamelin,21.0,Canada
2421,Alex Izykowski,22.0,United States
2422,Jeon DaHye,22.0,South Korea
2423,J P Kepka,21.0,United States
2424,Alanna Kraus,28.0,Canada
2425,Li Jiajun,30.0,China
2426,O SeJong,23.0,South Korea
2427,Amanda Overland,24.0,Canada
2428,Evgeniya Radanova,28.0,Bulgaria
2429,Kalyna Roberge,19.0,Canada
2430,Seo HoJin,22.0,South Korea
2431,Rusty Smith,26.0,United States
2432,Song SeogU,22.0,South Korea
2433,Mathieu Turcotte,29.0,Canada
2434,Tania Vicent,30.0,Canada
2435,Yang Yang A,29.0,China
2436,Katia Zini,24.0,Italy
2437,Mara Zini,26.0,Italy
2438,An Yulong,23.0,China
2439,Michele Antonioli,25.0,Italy
2440,Éric Bédard,25.0,Canada
2441,Steven Bradbury,28.0,Australia
2442,Maurizio Carnino,26.0,Italy
2443,Fabio Carta,24.0,Italy
2444,Isabelle Charest,31.0,Canada
2445,Choi MinKyung,19.0,South Korea
2446,MarieEve Drolet,20.0,Canada
2447,Feng Kai,23.0,China
2448,Nicola Franceschina,24.0,Italy
2449,Amélie GouletNadon,19.0,Canada
2450,Guo Wei,18.0,China
2451,Ju MinJin,18.0,South Korea
2452,Alanna Kraus,24.0,Canada
2453,Li Ye,18.0,China
2454,Park HyeWon,18.0,South Korea
2455,Nicola Rodigari,20.0,Italy
2456,Rusty Smith,22.0,United States
2457,Sun Dandan,23.0,China
2458,FrançoisLouis Tremblay,21.0,Canada
2459,Tania Vicent,26.0,Canada
2460,Daniela AnschützThoms,35.0,Germany
2461,Jan Blokhuijsen,20.0,Netherlands
2462,Håvard Bøkko,23.0,Norway
2463,Bob de Jong,33.0,Netherlands
2464,Anni FriesingerPostma,33.0,Germany
2465,Annette Gerritsen,24.0,Netherlands
2466,Mathieu Giroux,24.0,Canada
2467,Brian Hansen,19.0,United States
2468,Masako Hozumi,23.0,Japan
2469,Clara Hughes,37.0,Canada
2470,Joji Kato,25.0,Japan
2471,Nao Kodaira,23.0,Japan
2472,Jonathan Kuck,19.0,United States
2473,Simon Kuipers,27.0,Netherlands
2474,Lee SangHwa,20.0,South Korea
2475,Lucas Makowsky,22.0,Canada
2476,Trevor Marsicano,20.0,United States
2477,Katrin Mattscherodt,28.0,Germany
2478,Denny Morrison,24.0,Canada
2479,Keiichiro Nagashima,27.0,Japan
2480,Christine Nesbitt,24.0,Canada
2481,Maki Tabata,35.0,Japan
2482,Laurine van Riessen,22.0,Netherlands
2483,Wang Beixing,24.0,China
2484,Katarzyna WójcickaBachledaCurus,30.0,Poland
2485,Jenny Wolf,31.0,Germany
2486,Katarzyna Wozniak,20.0,Poland
2487,Ireen Wüst,23.0,Netherlands
2488,Luiza Zlotkowska,23.0,Poland
2489,Yekaterina Abramova,23.0,Russia
2490,Matteo Anesi,21.0,Italy
2491,Daniela AnschützThoms,31.0,Germany
2492,Varvara Barysheva,28.0,Russia
2493,Svetlana BoyarkinaZhurova,34.0,Russia
2494,Arne Dankers,25.0,Canada
2495,Bob de Jong,29.0,Netherlands
2496,Stefano Donagrandi,29.0,Italy
2497,Dmitry Dorofeyev,29.0,Russia
2498,Steven Elm,30.0,Canada
2499,Renate Groenewold,29.0,Netherlands
2500,Lee GangSeok,20.0,South Korea
2501,Galina Likhachova,28.0,Russia
2502,Yekaterina Lobysheva,20.0,Russia
2503,Denny Morrison,20.0,Canada
2504,Christine Nesbitt,20.0,Canada
2505,Lucille Opitz,28.0,Germany
2506,Jason Parker,30.0,Canada
2507,Shannon Rempel,21.0,Canada
2508,Ren Hui,22.0,China
2509,Rintje Ritsma,35.0,Netherlands
2510,Ippolito Sanfratello,32.0,Italy
2511,Marianne Timmer,31.0,Netherlands
2512,Mark Tuitert,25.0,Netherlands
2513,Sabine Völker,32.0,Germany
2514,Svetlana Vysokova,33.0,Russia
2515,Wang Manli,32.0,China
2516,Justin Warsylewicz,20.0,Canada
2517,Jens Boden,23.0,Germany
2518,Jan Bos,26.0,Netherlands
2519,Kip Carpenter,22.0,United States
2520,Joey Cheek,22.0,United States
2521,Casey FitzRandolph,27.0,United States
2522,Anni FriesingerPostma,25.0,Germany
2523,Monique GarbrechtEnfeldt,33.0,Germany
2524,Renate Groenewold,25.0,Netherlands
2525,Clara Hughes,29.0,Canada
2526,Cindy Klassen,22.0,Canada
2527,Catriona Le May Doan,31.0,Canada
2528,Gianni Romme,29.0,Netherlands
2529,Hiroyasu Shimizu,27.0,Japan
2530,Gretha Smit,26.0,Netherlands
2531,Lasse Sætre,27.0,Norway
2532,Ådne Søndrål,30.0,Norway
2533,Gerard van Velde,30.0,Netherlands
2534,Chris Witty,26.0,United States
2535,Monica Abbott,23.0,United States
2536,Sandy AllenLewis,29.0,Australia
2537,Laura Berg,33.0,United States
2538,Jodie Bowering,26.0,Australia
2539,Crystl Bustos,30.0,United States
2540,Kylie Cronk,24.0,Australia
2541,Andrea Duran,24.0,United States
2542,Naho Emoto,22.0,Japan
2543,Jennie Finch,27.0,United States
2544,Tairia Flowers,27.0,United States
2545,Motoko Fujimoto,27.0,Japan
2546,Vicky Galindo,24.0,United States
2547,Kelly Hardie,38.0,Australia
2548,Tanya Harding,36.0,Australia
2549,Megu Hirose,27.0,Japan
2550,Emi Inui,24.0,Japan
2551,Sachiko Ito,32.0,Japan
2552,Lovie Jung,28.0,United States
2553,Ayumi Karino,23.0,Japan
2554,Kelly Kretschman,28.0,United States
2555,Lauren Lappin,24.0,United States
2556,Caitlin Lowe,23.0,United States
2557,Satoko Mabuchi,26.0,Japan
2558,Jessica Mendoza,27.0,United States
2559,Yukiyo Mine,20.0,Japan
2560,Masumi Mishina,26.0,Japan
2561,Simmone Morrow,31.0,Australia
2562,Tracey Mosley,34.0,Australia
2563,Rei Nishiyama,24.0,Japan
2564,Stacey Nuveman,30.0,United States
2565,Cat Osterman,25.0,United States
2566,Stacey Porter,26.0,Australia
2567,Melanie Roche,37.0,Australia
2568,Hiroko Sakai,29.0,Japan
2569,Rie Sato,27.0,Japan
2570,Justine Smethurst,21.0,Australia
2571,Mika Someya,25.0,Japan
2572,Danielle Stewart,27.0,Australia
2573,Natalie Titcume,32.0,Australia
2574,Yukiko Ueno,26.0,Japan
2575,Natalie Ward,32.0,Australia
2576,Natasha Watley,26.0,United States
2577,Belinda Wright,27.0,Australia
2578,Kerry Wyborn,30.0,Australia
2579,Eri Yamada,24.0,Japan
2580,Sandy AllenLewis,25.0,Australia
2581,Laura Berg,29.0,United States
2582,Crystl Bustos,26.0,United States
2583,Marissa Carpadios,26.0,Australia
2584,Amanda Doman,26.0,Australia
2585,Peta Edebone,35.0,Australia
2586,Lisa Fernandez,33.0,United States
2587,Jennie Finch,23.0,United States
2588,Tairia Flowers,23.0,United States
2589,Amanda Freed,24.0,United States
2590,Fiona HanesCrawford,27.0,Australia
2591,Tanya Harding,32.0,Australia
2592,Lori Harrigan,33.0,United States
2593,Natalie Hodgskin,28.0,Australia
2594,Kazue Ito,26.0,Japan
2595,Yumi Iwabuchi,24.0,Japan
2596,Lovie Jung,24.0,United States
2597,Kelly Kretschman,24.0,United States
2598,Jessica Mendoza,23.0,United States
2599,Masumi Mishina,22.0,Japan
2600,Simmone Morrow,27.0,Australia
2601,Tracey Mosley,30.0,Australia
2602,Emi Naito,24.0,Japan
2603,Stacey Nuveman,26.0,United States
2604,Leah OBrienAmico,29.0,United States
2605,Cat Osterman,21.0,United States
2606,Stacey Porter,22.0,Australia
2607,Melanie Roche,33.0,Australia
2608,Haruka Saito,34.0,Japan
2609,Hiroko Sakai,25.0,Japan
2610,Naoko Sakamoto,19.0,Japan
2611,Rie Sato,24.0,Japan
2612,Yuki Sato,23.0,Japan
2613,Juri Takayama,27.0,Japan
2614,Natalie Titcume,28.0,Australia
2615,Jenny Topping,24.0,United States
2616,Yukiko Ueno,22.0,Japan
2617,Reika Utsugi,41.0,Japan
2618,Natalie Ward,28.0,Australia
2619,Natasha Watley,22.0,United States
2620,Brooke Wilkins,30.0,Australia
2621,Kerry Wyborn,26.0,Australia
2622,Eri Yamada,20.0,Japan
2623,Noriko Yamaji,33.0,Japan
2624,Sandy AllenLewis,21.0,Australia
2625,Christie Ambrosi,23.0,United States
2626,Misako Ando,29.0,Japan
2627,Laura Berg,25.0,United States
2628,Jo Brown,28.0,Australia
2629,Jennifer Brundage,27.0,United States
2630,Crystl Bustos,23.0,United States
2631,Sheila CornellDouty,38.0,United States
2632,Kerry Dienelt,31.0,Australia
2633,Peta Edebone,31.0,Australia
2634,Sue Fairhurst,26.0,Australia
2635,Lisa Fernandez,29.0,United States
2636,Selina Follas,24.0,Australia
2637,Yumiko Fujii,28.0,Japan
2638,Fiona HanesCrawford,23.0,Australia
2639,Kelly Hardie,30.0,Australia
2640,Tanya Harding,28.0,Australia
2641,Lori Harrigan,30.0,United States
2642,Danielle Henderson,23.0,United States
2643,Taeko Ishikawa,24.0,Japan
2644,Kazue Ito,22.0,Japan
2645,Yoshimi Kobayashi,32.0,Japan
2646,Shiori Koseki,28.0,Japan
2647,Mariko Masubuchi,20.0,Japan
2648,Naomi Matsumoto,32.0,Japan
2649,Sally McDermidMcCreedy,35.0,Australia
2650,Jennifer McFalls,28.0,United States
2651,Simmone Morrow,23.0,Australia
2652,Emi Naito,20.0,Japan
2653,Stacey Nuveman,22.0,United States
2654,Leah OBrienAmico,26.0,United States
2655,Dot Richardson,38.0,United States
2656,Melanie Roche,29.0,Australia
2657,Haruka Saito,30.0,Japan
2658,Michele Smith,33.0,United States
2659,Juri Takayama,23.0,Japan
2660,Hiroko Tamoto,26.0,Japan
2661,Natalie Titcume,24.0,Australia
2662,Reika Utsugi,37.0,Japan
2663,Michelle Venturella,27.0,United States
2664,Natalie Ward,24.0,Australia
2665,Brooke Wilkins,26.0,Australia
2666,Christa Williams,22.0,United States
2667,Miyo Yamada,24.0,Japan
2668,Noriko Yamaji,30.0,Japan
2669,JaseyJay Anderson,34.0,Canada
2670,Déborah Anthonioz,31.0,France
2671,Mathieu Bozzetto,36.0,France
2672,Torah Bright,23.0,Australia
2673,Kelly Clark,26.0,United States
2674,Yekaterina Ilyukhina,22.0,Russia
2675,Benjamin Karl,24.0,Austria
2676,Marion Kreiner,28.0,Austria
2677,Scotty Lago,22.0,United States
2678,Olivia Nobs,27.0,Switzerland
2679,Peetu Piiroinen,22.0,Finland
2680,Tony Ramoin,21.0,France
2681,Maëlle Ricker,31.0,Canada
2682,Mike Robertson,24.0,Canada
2683,Nicolien Sauerbreij,30.0,Netherlands
2684,Hannah Teter,23.0,United States
2685,Seth Wescott,33.0,United States
2686,Shaun White,23.0,United States
2687,Gretchen Bleiler,24.0,United States
2688,Kjersti Buaas,24.0,Norway
2689,PaulHenri De Le Rue,21.0,France
2690,Rosey Fletcher,30.0,United States
2691,Tanja Frieden,30.0,Switzerland
2692,Sigi Grabner,31.0,Austria
2693,Lindsey Jacobellis,20.0,United States
2694,Danny Kass,23.0,United States
2695,Amelie Kober,18.0,Germany
2696,Markku Koski,24.0,Finland
2697,Dominique Maltais,25.0,Canada
2698,Daniela Meuli,24.0,Switzerland
2699,Philipp Schoch,26.0,Switzerland
2700,Simon Schoch,27.0,Switzerland
2701,Hannah Teter,19.0,United States
2702,Seth Wescott,29.0,United States
2703,Shaun White,19.0,United States
2704,Radoslav Židek,24.0,Slovakia
2705,Isabelle Blanc,26.0,France
2706,Kelly Clark,18.0,United States
2707,Danny Kass,19.0,United States
2708,Chris Klug,29.0,United States
2709,Ross Powers,23.0,United States
2710,Fabienne Reuteler,22.0,Switzerland
2711,Richard Richardsson,28.0,Sweden
2712,Karine Ruby,24.0,France
2713,Philipp Schoch,22.0,Switzerland
2714,JJ Thomas,20.0,United States
2715,Lidia Trettel,28.0,Italy
2716,Doriane Vidal,25.0,France
2717,Anders Bardal,27.0,Norway
2718,Johan Remen Evensen,24.0,Norway
2719,Tom Hilde,22.0,Norway
2720,Anders Jacobsen,25.0,Norway
2721,Andreas Kofler,25.0,Austria
2722,Wolfgang Loitzl,30.0,Austria
2723,Thomas Morgenstern,23.0,Austria
2724,Michael Neumayer,31.0,Germany
2725,Martin Schmitt,32.0,Germany
2726,Michael Uhrmann,31.0,Germany
2727,Andreas Wank,22.0,Germany
2728,Janne Ahonen,28.0,Finland
2729,Janne Happonen,21.0,Finland
2730,Tommy Ingebrigtsen,28.0,Norway
2731,Tami Kiuru,29.0,Finland
2732,Martin Koch,24.0,Austria
2733,Bjørn Einar Romøren,24.0,Norway
2734,Andreas Widhölzl,29.0,Austria
2735,Janne Ahonen,24.0,Finland
2736,Damjan Fras,28.0,Slovenia
2737,Stephan Hocke,18.0,Germany
2738,Risto Jussilainen,26.0,Finland
2739,Robert Kranjec,20.0,Slovenia
2740,VeliMatti Lindström,18.0,Finland
2741,Primož Peterka,22.0,Slovenia
2742,Martin Schmitt,24.0,Germany
2743,Michael Uhrmann,23.0,Germany
2744,Peter Žonta,23.0,Slovenia
2745,Martins Dukurs,25.0,Latvia
2746,Anja Huber,26.0,Germany
2747,Jon Montgomery,30.0,Canada
2748,Kerstin Szymkowiak,32.0,Germany
2749,Aleksandr Tretyakov,24.0,Russia
2750,Amy Williams,27.0,Great Britain
2751,Duff Gibson,39.0,Canada
2752,Mellisa HollingsworthRichards,25.0,Canada
2753,Jeff Pain,35.0,Canada
2754,Maya Pedersen,33.0,Switzerland
2755,Shelley Rudman,24.0,Great Britain
2756,Gregor Stähli,37.0,Switzerland
2757,Alex Coomber,28.0,Great Britain
2758,Tristan Gale,21.0,United States
2759,Lea Ann Parsley,33.0,United States
2760,Martin Rettl,28.0,Austria
2761,Jim Shea Jr,33.0,United States
2762,Gregor Stähli,33.0,Switzerland
2763,Nasser AlAttiya,41.0,Qatar
2764,Fehaid AlDeehani,41.71178822269718,Kuwait
2765,Danka Barteková,27.0,Slovakia
2766,Jamie BeyerleGray,28.0,United States
2767,Sylwia Bogacka,30.0,Poland
2768,Giovanni Cernogoraz,29.0,Croatia
2769,Chen Ying,34.0,China
2770,Choi YeongRae,30.0,South Korea
2771,Lionel Cox,31.0,Belgium
2772,Håkan Dahlby,41.71178822269718,Sweden
2773,Rajmond Debevec,41.71178822269718,Slovenia
2774,Ding Feng,25.0,China
2775,Matt Emmons,31.0,United States
2776,Massimo Fabbrizi,34.0,Italy
2777,Celine Goberville,25.0,France
2778,Anders Golding,28.0,Denmark
2779,Guo Wenjun,28.0,China
2780,Vincent Hancock,23.0,United States
2781,Kim JangMi,19.0,South Korea
2782,Kim JongHyeon,27.0,South Korea
2783,Vijay Kumar,26.0,India
2784,Ivana Maksimovic,22.0,Serbia
2785,Sergey Martynov,41.71178822269718,Belarus
2786,Alin Moldoveanu,29.0,Romania
2787,Vasily Mosin,40.0,Russia
2788,Gagan Narang,29.0,India
2789,Leuris Pupo,35.0,Cuba
2790,Delphine RacinetReau,38.0,France
2791,Kim Rhode,33.0,United States
2792,Jessica Rossi,20.0,Italy
2793,Zuzana Štefeceková,28.0,Slovakia
2794,Adéla Sýkorová,25.0,Czech Republic
2795,Luca Tesconi,30.0,Italy
2796,Wang Zhiwei,24.0,China
2797,Wei Ning,29.0,China
2798,Peter Wilson,25.0,Great Britain
2799,Yi Siling,23.0,China
2800,Yu Dan,24.0,China
2801,Andrija Zlatic,34.0,Serbia
2802,Artur Aivazian,35.0,Ukraine
2803,Aleksey Alipov,33.0,Russia
2804,Abhinav Bindra,25.0,India
2805,Christine BrinkerWenzel,27.0,Germany
2806,Tore Brovold,38.0,Norway
2807,Chiara Cainero,30.0,Italy
2808,Chen Ying,30.0,China
2809,Corey Cogdell,21.0,United States
2810,Eglis Yaima Cruz,28.0,Cuba
2811,Francesco DAniello,39.0,Italy
2812,Rajmond Debevec,41.71178822269718,Slovenia
2813,Munkhbayar Dorjsuren,39.0,Germany
2814,Du Li,26.0,China
2815,Glenn Eller,26.0,United States
2816,Matt Emmons,27.0,United States
2817,Lyubov Galkina,35.0,Russia
2818,Guo Wenjun,24.0,China
2819,Henri Häkkinen,28.0,Finland
2820,Vincent Hancock,19.0,United States
2821,Hu Binyuan,30.0,China
2822,Vladimir Isakov,38.0,Russia
2823,David Kostelecký,33.0,Czech Republic
2824,Satu MäkeläNummela,37.0,Finland
2825,Otryadyn Gündegmaa,30.0,Mongolia
2826,Nataliya Paderina,32.0,Russia
2827,Pang Wei,22.0,China
2828,Snježana Pejcic,26.0,Croatia
2829,Giovanni Pellielo,38.0,Italy
2830,Oleksandr Petriv,34.0,Ukraine
2831,Warren Potent,41.71178822269718,Australia
2832,Qiu Jian,33.0,China
2833,Christian Reitz,21.0,Germany
2834,Kim Rhode,29.0,United States
2835,Nino Salukvadze,39.0,Georgia
2836,Ralf Schumann,41.71178822269718,Germany
2837,Zuzana Štefeceková,24.0,Slovakia
2838,Yuriy Sukhorukov,40.0,Ukraine
2839,Tan Zongliang,36.0,China
2840,Anthony Terras,23.0,France
2841,Jason Turner,33.0,United States
2842,Zhu Qinan,23.0,China
2843,Ahmed AlMaktoum,40.0,United Arab Emirates
2844,Sergey Alifirenko,41.71178822269718,Russia
2845,Aleksey Alipov,29.0,Russia
2846,Michael Anti,40.0,United States
2847,Irad Asumova,41.71178822269718,Azerbaijan
2848,Suzy Balogh,31.0,Australia
2849,Andrea Benelli,41.71178822269718,Italy
2850,Aleksandr Blinov,22.0,Russia
2851,Du Li,22.0,China
2852,Matt Emmons,23.0,United States
2853,Gao E,41.0,China
2854,Jozef Gönci,30.0,Slovakia
2855,Lenka HykováMarušková,19.0,Czech Republic
2856,Diána Igaly,39.0,Hungary
2857,Vladimir Isakov,34.0,Russia
2858,Jia Zhanbo,30.0,China
2859,Jin JongO,24.0,South Korea
2860,Marko Kemppainen,28.0,Finland
2861,Kim JongSu,27.0,North Korea
2862,Olena Kostevych,19.0,Ukraine
2863,Katerina KurkováEmmons,20.0,Czech Republic
2864,Manfred Kurzer,34.0,Germany
2865,Li Jie,31.0,China
2866,Christian Lusch,23.0,Germany
2867,Dmitry Lykin,30.0,Russia
2868,Sergey Martynov,36.0,Belarus
2869,Zemfira Meftkhtddinova,41.0,Azerbaijan
2870,Giovanni Pellielo,34.0,Italy
2871,Christian Planer,29.0,Austria
2872,Sergey Polyakov,36.0,Russia
2873,María Quintanal,34.0,Spain
2874,Rajyavardhan Rathore,34.0,India
2875,Kim Rhode,25.0,United States
2876,Juan Miguel Rodríguez,37.0,Cuba
2877,Ralf Schumann,41.71178822269718,Germany
2878,Jasna Šekaric,38.0,Serbia and Montenegro
2879,Valentina Turisini,35.0,Italy
2880,Adam Vella,33.0,Australia
2881,Wang Chengyi,21.0,China
2882,Wang Yifu,41.71178822269718,China
2883,Wang Zheng,25.0,China
2884,Wei Ning,22.0,China
2885,Zhu Qinan,19.0,China
2886,Fehaid AlDeehani,33.0,Kuwait
2887,Yevgeny Aleynikov,33.0,Russia
2888,Sergey Alifirenko,41.0,Russia
2889,Michel Ansermet,35.0,Switzerland
2890,Cai Yalin,23.0,China
2891,Rajmond Debevec,37.0,Slovenia
2892,Michael Diamond,28.0,Australia
2893,Franck Dumoulin,28.0,France
2894,Svetlana Dyomina,39.0,Russia
2895,Jonas Edman,33.0,Sweden
2896,Richard Faulds,23.0,Great Britain
2897,Mariya Feklistova,24.0,Russia
2898,Annemarie Forder,22.0,Australia
2899,Gang ChoHyeon,17.0,South Korea
2900,Gao E,37.0,China
2901,Gao Jing,24.0,China
2902,Deborah Gelisio,24.0,Italy
2903,Tatyana Goldobina,24.0,Russia
2904,Todd Graves,37.0,United States
2905,Torben Grimmel,24.0,Denmark
2906,Mariya Grozdeva,28.0,Bulgaria
2907,Daina Gudzineviciute,34.0,Lithuania
2908,Pia Hansen,34.0,Sweden
2909,Juha Hirvi,40.0,Finland
2910,Diána Igaly,35.0,Hungary
2911,Artyom Khadzhibekov,30.0,Russia
2912,Tanyu Kiryakov,37.0,Bulgaria
2913,Petr Málek,38.0,Czech Republic
2914,Russell Mark,36.0,Australia
2915,Sergey Martynov,32.0,Belarus
2916,Renata MauerRózanska,31.0,Poland
2917,Zemfira Meftkhtddinova,37.0,Azerbaijan
2918,Mykola Milchev,32.0,Ukraine
2919,Lalita MilshinaYauhleuskaya,36.0,Belarus
2920,Oleg Moldovan,33.0,Moldova
2921,Nancy NapolskiJohnson,26.0,United States
2922,Niu Zhiyuan,26.0,China
2923,Ian Peel,41.71178822269718,Great Britain
2924,Giovanni Pellielo,30.0,Italy
2925,Delphine RacinetReau,26.0,France
2926,Iulian Raicea,27.0,Romania
2927,Kim Rhode,21.0,United States
2928,Jasna Šekaric,34.0,Serbia and Montenegro
2929,Harald Stenvaag,41.71178822269718,Norway
2930,Martin Tenk,28.0,Czech Republic
2931,Wang Yifu,39.0,China
2932,Yang Ling,28.0,China
2933,Ben Ainslie,35.0,Great Britain
2934,Marina Alabau,26.0,Spain
2935,Jo Aleh,26.0,New Zealand
2936,Mathew Belcher,29.0,Australia
2937,Lobke Berkhout,31.0,Netherlands
2938,Stuart Bithell,25.0,Great Britain
2939,Marit Bouwmeester,24.0,Netherlands
2940,Peter Burling,21.0,New Zealand
2941,Lucas Calabrese,25.0,Argentina
2942,Saskia Clark,32.0,Great Britain
2943,Nina Curtis,24.0,Australia
2944,Juan de la Fuente,35.0,Argentina
2945,Nick Dempsey,31.0,Great Britain
2946,Támara Echegoyen,28.0,Spain
2947,Jonas Høgh Christensen,31.0,Denmark
2948,Iain Jensen,24.0,Australia
2949,Silja Kanerva,27.0,Finland
2950,Pavlos Kontides,22.0,Cyprus
2951,Peter Lang,23.0,Denmark
2952,Silja Lehtinen,26.0,Finland
2953,Jonathan Lobert,27.0,France
2954,Fredrik Lööf,41.71178822269718,Sweden
2955,Przemyslaw Miarczynski,32.0,Poland
2956,Hannah Mills,24.0,Great Britain
2957,Rasmus Myrgren,33.0,Sweden
2958,Zofia NocetiKlepacka,26.0,Poland
2959,Allan Nørregaard,31.0,Denmark
2960,Nathan Outteridge,26.0,Australia
2961,Malcolm Page,40.0,Australia
2962,Luke Patience,25.0,Great Britain
2963,Iain Percy,36.0,Great Britain
2964,Tuuli Petäjä,28.0,Finland
2965,Olivia Powrie,24.0,New Zealand
2966,Bruno Prada,40.0,Brazil
2967,Olivia Price,19.0,Australia
2968,Angela Pumariega,27.0,Spain
2969,Max Salminen,23.0,Sweden
2970,Robert Scheidt,39.0,Brazil
2971,Andrew Simpson,35.0,Great Britain
2972,Tom Slingsby,27.0,Australia
2973,Sofia Toro,21.0,Spain
2974,Blair Tuke,23.0,New Zealand
2975,Evi Van Acker,26.0,Belgium
2976,Dorian van Rijsselberge,23.0,Netherlands
2977,Lisa Westerhof,30.0,Netherlands
2978,Lucinda Whitty,22.0,Australia
2979,Mikaela Wulff,22.0,Finland
2980,Xu Lijia,24.0,China
2981,Ben Ainslie,31.0,Great Britain
2982,Glenn Ashby,30.0,Australia
2983,Tom Ashley,24.0,New Zealand
2984,Sarah Ayton,28.0,Great Britain
2985,Olivier Bausset,26.0,France
2986,Sofia Bekatorou,30.0,Greece
2987,Lobke Berkhout,27.0,Netherlands
2988,Annemieke Bes,30.0,Netherlands
2989,Julien Bontemps,29.0,France
2990,Marcelien Bosde Koning,30.0,Netherlands
2991,Darren Bundock,37.0,Australia
2992,Nicolas Charbonnier,27.0,France
2993,Fernando Echavarri,36.0,Spain
2994,Anders Ekström,27.0,Sweden
2995,Carlos Espínola,36.0,Argentina
2996,Xavier Fernández,31.0,Spain
2997,Guillaume Florent,34.0,France
2998,Joe Glanfield,29.0,Great Britain
2999,Paul Goodison,30.0,Great Britain
3000,Martin Kirketerp,36.0,Denmark
3001,Virginia Kravarioti,24.0,Greece
3002,Santiago Lange,41.71178822269718,Argentina
3003,Fredrik Lööf,38.0,Sweden
3004,Iker Martínez,31.0,Spain
3005,Mandy Mulder,21.0,Netherlands
3006,Fernanda Oliveira,27.0,Brazil
3007,Malcolm Page,36.0,Australia
3008,Sofia Papadopoulou,24.0,Greece
3009,Tessa Parkinson,21.0,Australia
3010,Antón Paz,32.0,Spain
3011,Hannes Peckolt,25.0,Germany
3012,Jan Peter Peckolt,27.0,Germany
3013,Iain Percy,32.0,Great Britain
3014,Bruno Prada,37.0,Brazil
3015,Zach Railey,24.0,United States
3016,Elise Rechichi,22.0,Australia
3017,Nick Rogers,31.0,Great Britain
3018,Diego Romero,33.0,Italy
3019,Robert Scheidt,35.0,Brazil
3020,Alessandra Sensini,38.0,Italy
3021,Bryony Shaw,25.0,Great Britain
3022,Andrew Simpson,31.0,Great Britain
3023,Isabel Swan,24.0,Brazil
3024,Anna Tunnicliffe,25.0,United States
3025,Gintare VolungeviciuteScheidt,25.0,Lithuania
3026,Jonas Warrer,29.0,Denmark
3027,Sarah Webb,31.0,Great Britain
3028,Nathan Wilmot,28.0,Australia
3029,Pippa Wilson,22.0,Great Britain
3030,Merel Witteveen,23.0,Netherlands
3031,Xu Lijia,20.0,China
3032,Yin Jian,29.0,China
3033,Vasilij Žbogar,32.0,Slovenia
3034,Shahar Zubari,21.0,Israel
3035,Ben Ainslie,27.0,Great Britain
3036,Sarah Ayton,24.0,Great Britain
3037,Sandra Azón,30.0,Spain
3038,Sofia Bekatorou,26.0,Greece
3039,Kevin Burnham,41.71178822269718,United States
3040,Nick Dempsey,24.0,Great Britain
3041,Chris Draper,26.0,Great Britain
3042,Carlos Espínola,32.0,Argentina
3043,Xavier Fernández,27.0,Spain
3044,Marcelo Ferreira,38.0,Brazil
3045,Paul Foerster,40.0,United States
3046,Gal Fridman,28.0,Israel
3047,Andreas Geritzer,26.0,Austria
3048,Joe Glanfield,25.0,Great Britain
3049,Torben Grael,41.71178822269718,Brazil
3050,Roman Hagara,38.0,Austria
3051,Simon Hiscocks,31.0,Great Britain
3052,Dorte Jensen,31.0,Denmark
3053,Helle Jespersen,36.0,Denmark
3054,Nikos Kaklamanakis,35.0,Greece
3055,Hanna Kalinina,25.0,Ukraine
3056,Mateusz Kusznierewicz,29.0,Poland
3057,Santiago Lange,41.71178822269718,Argentina
3058,Heorhiy Leonchuk,30.0,Ukraine
3059,Signe Livbjerg,24.0,Denmark
3060,John Lovell,36.0,United States
3061,Rodion Luka,31.0,Ukraine
3062,Ross MacDonald,39.0,Canada
3063,Iker Martínez,27.0,Spain
3064,Svitlana Matevusheva,23.0,Ukraine
